Broker names,broker filer code,addresses,phones
AGILITY LOGISTICS CORP,201,"1335 DONALDSON ROAD
SUITE 5A
ERLANGER, KY 41018
United States ",+1 859-689-5600          
CEVA INTERNATIONAL INC,004,"2850 EARHART COURT
HEBRON, KY 41048
United States ",+1 859-578-6456          
CH ROBINSON FREIGHT SERVICES LTD,279,"1390 DONALDSON ROAD
SUITE E
ERLANGER, KY 41018
United States ",+1 859-372-7600          
APEX LOGISTICS INTERNATIONAL (JFK) INC,9G3,"600 MEIJER DR
FLORENCE, KY 41042
United States ", 
C J INTERNATIONAL INC,U10,"71 CAVALIER BOULEVARD
SUITE 307
FLORENCE, KY 41042
United States ",+1 859-282-7200          
C B SERVICE INC,BSS,"4218 HICKORYVIEW DRIVE
LOUISVILLE, KY 40299
United States ",+1 502-267-9083          
EXEL GLOBAL LOGISTICS INC,233,"2151 SOUTHPARK DRIVE
SUITE 1
HEBRON, KY 41048
United States ",+1 859-586-2900          
BOLLORE LOGISTICS USA INC,408,"3498 AIRPARK DRIVE
SUITE 212
HEBRON, KY 41048
United States ", 
A N DERINGER INC,551,"1670 DOLWICK DRIVE SUITE 9
PO BOX 75103
ERLANGER, KY 41018
United States ",+1 859-282-7646          
DHL EXPRESS (USA) INC,AEK,"236 WENDELL H FORD BOULEVARD
MS 1205
ERLANGER, KY 41018
United States ",+1 859-817-8225          
NIPPON EXPRESS USA INC,510,"1845 AIRPORT EXCHANGE DRIVE
SUITE 230
ERLANGER, KY 41018
United States ",+1 859-525-0196          
KUEHNE & NAGEL INC,101,"1825 AIRPORT EXCHANGE BOULEVARD
SUITE 500
ERLANGER, KY 41018
United States ",+1 859-525-9994          
MIAMI VALLEY WORLDWIDE INC,361,"1050 ARBOR TECH DRIVE
SUITE H
HEBRON, KY 41048
United States ",+1 859-283-2644          
KINTETSU WORLD EXPRESS (USA) INC,EE6,"2900 EARHART COURT
SUITE 260
HEBRON, KY 41048
United States ",+1 859-689-0233          
RL SWEARER COMPANY INC,344,"467 ERLANGER ROAD
ERLANGER, KY 41048
United States ",+1 859-727-2241          
STEVE STORY DBA GLOBAL TRADE SOLUTIONS,AVS,,
RADIX GROUP INTERNATIONAL INC DBA DHL GLOBAL FORWARDING,336,"1825 AIRPORT EXCHANGE BOULEVARD
SUITE 200 BLDG J
ERLANGER, KY 41048
United States ",+1 859-371-5867          
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,231,"2000 CONNER ROAD
SUITE 190
HEBRON, KY 41048
United States ",+1 859-282-9494          
JOHN S CONNOR INC,788,"1465 JAMIKE AVENUE
ERLANGER, KY 41018
United States ",+1 859-647-6691          
SCHENKER INC,322,"1390 DONALDSON DRIVE CENTER
SUITE H
ERLANGER, KY 41018
United States ",+1 859-525-8432          
