Broker names,broker filer code,addresses,phones
AMERICAN CARGO EXPRESS INC,U16,"4601 CHARLOTTE DRIVE
SUITE 360
CHARLOTTE, NC 28217
United States ",+1 980-939-0307          
AMERICAN EMO TRANS INC,GF5,"2600 HUTCHINSON MCDONALD ROAD
CHARLOTTE, NC 28269
United States ",+1 704-359-0045          
CARGO LOGISTICS NETWORK,BLB,"9530 STEELE CREEK PARKWAY
SUITE A
CHARLOTTE, NC 28273
United States ",+1 704-357-0474          
AGILITY LOGISTICS CORP,201,"2195 WATER RIDGE PARKWAY
SUITE 590
CHARLOTTE, NC 28271
United States ",+1 704-357-8710          
BDP INTERNATIONAL INC,916,"9140 ARROWPOINT BOULEVARD
SUITE 220
CHARLOTTE, NC 28217
United States ",+1 704-916-6715          
AV REILLY INTERNATIONAL LTD DBA REILLY INTERNATIONAL,J88,"4121 C ROSE LAKE DRIVE
CHARLOTTE, NC 27217
United States ",+1 704-886-0950          
C H ROBINSON INTERNATIONAL INC,791,"1337 HUNDRED OAKS DRIVE
SUITE FF
CHARLOTTE, NC 28217
United States ",+1 704-357-3200          
CARMICHAEL INTERNATIONAL SERVICE,442,"5550 77 CENTER DRIVE
SUITE 175
CHARLOTTE, NC 28217
United States ",+1 910-914-5327          
CARGO BROKERS INTERNATIONAL INC,371,"1515 SHOPTON ROAD
SUITE 104
CHARLOTTE, NC 28217
United States ",+1 704-357-3079          
CEVA INTERNATIONAL INC,004,"1816 C WEST POINTE DRIVE
CHARLOTTE, NC 28214
United States ",+1 704-697-3900          
CHARLOTTE CUSTOMSHOUSE BROKERS INC,BMB,"442 SOUTH MAIN STREET
SUITE 24
DAVIDSON, NC 28036
United States ",+1 704-329-0011          
DAMCO CUSTOMS SERVICES INC,595,"9300 ARROWPOINT BOULEVARD
CHARLOTTE, NC 28273
United States ",+1 704-571-2000          
FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,799,"1511 SHOPTON ROAD
SUITE A
CHARLOTTE, NC 28217
United States ",+1 704-357-8822          
DACHSER USA AIR & SEA LOGISTICS INC,U52,"1809 EAST ASSOCIATES LANE
CHARLOTTE, NC 28217
United States ",+1 704-357-0443          
GLOBE EXPRESS SERVICES LTD,WU6,"8025 ARROWRIDGE BOULEVARD
CHARLOTTE, NC 28273
United States ",+1 704-357-3223          
GEODIS WILSON USA INC,GEO,"205 REGENCY EXECUTIVE PARK DRIVE
CHARLOTTE, NC 28217
United States ",+1 704-423-2670          
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,231,"3101 YORKMONT ROAD
SUITE 2400
CHARLOTTE, NC 28208
United States ",+1 704-329-0303          
DJ POWERS CO INC,500,"3801 BEAM ROAD
SUITE D
CHARLOTTE, NC 28217
United States ",+1 704-357-6331          
CV INTERNATIONAL INC,251,"1800B ASSOCIATES LANE
CHARLOTTE, NC 28217
United States ",+1 704-357-1444          
DSV AIR & SEA INC,DSV,"8530 STEELE CREEK PLACE DRIVE
UNIT D
CHARLOTTE, NC 28217
United States ",+1 704-357-6114          
JAS FORWARDING USA INC,D99,"3101 YORKMONT ROAD
SUITE 200
CHARLOTTE, NC 28208
United States ",+1 704-357-1230          
LIVINGSTON INTERNATIONAL INC,300,"1809 ASSOCIATES LANE
SUITE E
CHARLOTTE, NC 28217
United States ",+1 704-357-3050          
ISEWAN USA INC,EGQ,"9101 SOUTHERN PINE BOULEVARD
SUITE 350
CHARLOTTE, NC 28273
United States ",+1 704-521-2825          
M G K INC,DM5,"1111 WHITE JENKINS ROAD
BESSEMER CITY, NC 28208
United States ",+1 800-249-7495          
MAINFREIGHT INC,MFT,"7606 WHITEHALL EXECUTIVE DRIVE
SUITE 300
CHARLOTTE, NC 28273
United States ",+1 704-357-0412          
JOHN S JAMES CO,413,"4119 F ROSE LAKE DRIVE
CHARLOTTE, NC 28217
United States ",+1 704-357-6901          
MIDREX GLOBAL LOGISTICS INC,B8U,"900 CENTER PARK DRIVE
SUITE F1
CHARLOTTE, NC 28217
United States ",+1 704-424-9905          
MIQ GLOBAL LLC DBA MIQ LOGISTICS,988,"1300 FARM RIDGE COURT
WAXHAW, NC 28173
United States ",+1 843-367-1460          
KUEHNE & NAGEL INC,101,"4724 ENTRANCE DRIVE
CHARLOTTE, NC 28273
United States ",+1 704-359-8660          
HELLMANN WORLDWIDE LOGISTICS INC,MC2,"4725 ENTRANCE DRIVE
SUITE J
CHARLOTTE, NC 28273
United States ",+1 704-423-9307          
PANALPINA INC,554,"3140 YORKMONT ROAD
SUITE 600
CHARLOTTE, NC 28208
United States ",+1 704-357-1120          
RADIX GROUP INTERNATIONAL INC DBA DHL GLOBAL FORWARDING,336,"4925 SIRONA DRIVE
SUITE 300
CHARLOTTE, NC 28273
United States ",+1 704-504-2811          
SCHENKER INC,322,"3801 BEAM ROAD
SUITE F1
CHARLOTTE, NC 28217
United States ",+1 704-357-0200          
UPS SUPPLY CHAIN SOLUTIONS INC,UPS,"2031 SOUTH CENTENNIAL AVENUE
BLDG 1
AIKEN, SC 29803
United States ",+1 803-502-6700          
SPARX LOGISTICS USA LIMITED,9U8,"7621 LITTLE AVENUE
SUITE 113
CHARLOTTE, NC 28226
United States ",+1 704-900-0034          
SEKO CUSTOMS BROKERAGE INC,M34,"3101 YORKMONT ROAD
SUITE 1500
CHARLOTTE, NC 28208
United States ",+1 704-423-0111          
VANTEC HITACHI TRANSPORT SYSTEM USA INC,FY1,"2709 WATER RIDGE PARKWAY
SUITE 470
CHARLOTTE, NC 28217
United States ",+1 704-424-9902          
WESTERN OVERSEAS CORPORATION,906,"4111 K ROSE LAKE DRIVE
CHARLOTTE, NC 28217
United States ",+1 704-357-1111          
