Broker names,broker filer code,addresses,phones
AGILITY LOGISTICS CORP,201,"290 MCCLELLAN HIGHWAY
BOSTON, MA 2128
United States ",+1 617-569-5900          
A & A LTD,038,"174 UNION STREET
NEW BEDFORD, MA 2740
United States ",+1 508-999-1383          
BA HILL CORPORATION,BHU,"40 ATLANTIC AVENUE
COHASSET, MA 02025
United States ",+1 781-383-8843          
A N DERINGER INC,551,"140 EASTERN AVENUE
CHELSEA, MA 2150
United States ",+1 617-887-2020          
B&A BROKERS INC,AH5,"150 WOOD ROAD
SUITE 404
BRAINTREE, MA 2184
United States ",+1 617-561-0442          
ALBATRANS INC,KE3,"140 EASTERN AVENUE
CHELSEA, MA 02150
United States ",+1 617-887-0803          
ALL CITY BROKERS & FORWARDERS LLC,AWC,"56 LEWIS STREET
NEW LONDON, CT 6320
United States ",+1 201-346-1119          
AMBASSADOR BROKERS,EF1,"40 PEARL STREET
BRAINTREE, MA 02184
United States ",+1 781-843-5167          
ATLANTIC CUSTOMS BROKERS INC,851,"154 STATE STREET
PO BOX 189
NORTH HAVEN, CT 6473
United States ",+1 203-234-6510          
ALLFREIGHT IMPORT-EXPORT,AL0,"18A GRIFFIN WAY
CHELSEA, MA 2150
United States ",+1 617-889-4700          
BRUNING INTERNATIONAL CORPORATION,G61,"275 CENTER STREET
UNITS 9 10
HOLBROOK, MA 02343
United States ",+1 781-300-0025          
BOC INTERNATIONAL INC,E5R,"23 DRYDOCK AVENUE
FLOOR 5
BOSTON, MA 02210
United States ",+1 617-412-4743          
C H ROBINSON INTERNATIONAL INC,791,"400 UNICORN PARK DRIVE
4TH FLOOR
WOBURN, MA 1801
United States ",+1 781-994-0006          
CHARTER BROKERAGE LLC,BER,"383 MAIN AVENUE
NORWALK, CT 6851
United States ",+1 203-840-7500          
CH ROBINSON FREIGHT SERVICES LTD,279,"400 UNICORN PARK
4TH FLOOR
WOBURN, MA 1801
United States ",+1 781-994-0006          
CARMICHAEL INTERNATIONAL SERVICE,442,"140 EASTERN AVENUE
CHELSEA, MA 2150
United States ",+1 617-887-1600          
DACHSER USA AIR & SEA LOGISTICS INC,U52,"580 CHELSEA STREET
EAST BOSTON, MA 02128
United States ",+1 617-567-1145          
BARRY INTERNATIONAL FORWARDING INC,E86,"88 BLACK FALCON AVENUE
SUITE 167
BOSTON, MA 02210
United States ",+1 617-261-3500          
BOLLORE LOGISTICS USA INC,408,"301 EDGEWATER PLACE
WAKEFIELD, MA 1880
United States ",+1 781-928-2300          
BDP INTERNATIONAL INC,916,"500 WEST CUMMINGS PARK
WOBURN, MA 1801
United States ",+1 781-938-9388          
DOLLIFF & CO INC,182,"395 MAVERICK STREET
EAST BOSTON, MA 2128
United States ",+1 617-561-0900          
GLOBE EXPRESS SERVICES LTD,WU6,"58 CUMMINGS PARK
WOBURN, MA 01801
United States ",+1 781-995-4960          
GLOBAL DRAWBACK INC,DW7,"50 MAIN STREET
PO BOX 130
NORTH READING, MA 01864
United States ",+1 978-276-1999          
EVERGLORY CUSTOMS BROKERS LLC,EPQ,"175 MCCLELLAN HIGHWAY
SUITE 4
EAST BOSTON, MA 2128
United States ",+1 617-567-1161          
EMO TRANS INC,EMO,"480 MCCLELLAN HIGHWAY
SUITE 306
EAST BOSTON, MA 02128
United States ",+1 617-561-4802          
EMBASSY FREIGHT LLC,NR9,"100 CORPORATE PLACE
PEABODY, ME 01960
United States ",+1 617-569-5180          
DSV AIR & SEA INC,DSV,"480 MCCLELLAN HIGHWAY
EAST BOSTON, MA 02128
United States ",+1 617-569-9800          
FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,799,"480 MCCLELLAN HIGHWAY
EAST BOSTON, MA 2128
United States ",+1 617-568-7100          
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,231,"3 TECHNOLOGH DRIVE
PEABODY, MA 1960
United States ",+1 978-531-0001          
GEODIS WILSON USA INC,GEO,"440 MCCLELLAN HIGHWAY
SUITE 105L
EAST BOSTON, MA 2128
United States ",+1 617-561-5140          
KATHRYN L SARGES CUSTOMHOUSE BROKER,WL1,"889 ATKINS STREET
MIDDLETOWN, CT 06457
United States ",+1 860-827-0863          
J F MORAN CO INC,002,"160 SECOND STREET
HARBOUR TECH CENTER SUITE 210
CHELSEA, MA 2150
United States ",+1 617-884-0229          
HL BROKERAGE INC,855,"26 PRINCESS STREET
SUITE 1
WAKEFIELD, MA 1880
United States ",+1 781-587-2045          
JM RODGERS CO INC,943,"99 RAINBOW ROAD
EAST GRANBY, CT 6026
United States ",+1 860-653-6002          
KUEHNE & NAGEL INC,101,"ONE HARBOR STREET
SUITE 303
BOSTON, MA 2210
United States ",+1 617-261-8060          
HELLMANN WORLDWIDE LOGISTICS INC,MC2,"128 EASTERN AVENUE
CHELSEA, MA 02150
United States ",+1 617-409-4022          
KAREN A BUSENBURG,E98,"375 AIRPORT DRIVE
C O EURO AMERICAN BLDG
WORCESTER, MA 01602
United States ",+1 508-755-7275          
JAS FORWARDING USA INC,D99,"6 KIMBALL LANE
LYNNFIELD, MA 01940
United States ",+1 617-561-0024          
INTERNATIONAL TARIFF MANAGEMENT INC,BI0,"127 SCOTT ROAD
WATERBURY, CT 6705
United States ",+1 203-757-8777          
INTERNATIONAL SPECIALISTS INC,051,"177 MILK STREET
BOSTON, MA 2109
United States ",+1 617-357-9383          
PEGASUS3 WORLDWIDE LOGISTICS LLC,9HW,"132 CENTRAL STREET
SUITE 216
FOXBORO, MA 2035
United States ",+1 617-842-8591          
NNR GLOBAL LOGISTICS USA INC,U35,"230 BALLARDVALE STREET
SUITE E
WILMINGTON, MA 01887
United States ",+1 978-538-9922          
LJ ROGERS INC,WK9,"421 CURRANT ROAD
FALL RIVER, MA 02720
United States ",+1 508-672-8888          
NEW ENGLAND HOUSEHOLD MOVING AND,TT4,"104 BARTZAK DRIVE
HOLLISTON, MA 01746
United States ",+1 508-893-6300          
MAGIC CUSTOMS BROKERS INC,281,"90 EVERETT AVENUE
CHELSEA, MA 2150
United States ",+1 617-884-4800          
PANALPINA INC,554,"301 EDGEWATER PLACE
SUITE 310
WAKEFIELD, MA 1880
United States ",+1 781-716-1100          
NEW ENGLAND IM-EX INC,DH2,"128 EASTERN AVENUE
CHELSEA, MA 02150
United States ",+1 617-889-1835          
MASTERPIECE INTERNATIONAL LTD,D52,"464 BREMEN STREET
SUITE 5
EAST BOSTON, MA 02128
United States ",+1 617-568-3870          
