Broker names,broker filer code,addresses,phones
ACTION WORLDWIDE INC,EPW,"1 LINCOLN BOULEVARD
SUITE 102
ROUSES POINT, NY 12979
United States ",+1 518-297-6600          
AFFILIATED CUSTOMS BROKERS USA INC,EG6,"193 WEST SERVICE ROAD
PO BOX 2421
CHAMPLAIN, NY 12919
United States ",+1 518-298-3636          
A N DERINGER INC,551,"173 WEST SERVICE ROAD
CHAMPLAIN, NY 12919
United States ",+1 518-298-8281          
LIVINGSTON INTERNATIONAL INC,300,"100 WALNUT STREET
DOOR 20
CHAMPLAIN, NY 12919
United States ",+1 518-298-4444          
BAY BROKERAGE INC,BGK,"100 WALNUT STREET
SUITE 72
CHAMPLAIN, NY 12919
United States ",+1 518-298-5685          
DELMAR INTERNATIONAL NY INC,DS9,"5 COTON LANE
CHAMPLAIN, NY 12919
United States ",+1 518-206-4129          
COLE INTERNATIONAL USA INC,CIU,"100 WALNUT STREET
SUITE 042
CHAMPLAIN, NY 12919
United States ",+1 518-298-6600          
FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,799,"205 WEST SERVICE ROAD
CHAMPLAIN, NY 12919
United States ",+1 518-298-3000          
AXXESS INTERNATIONAL INC,9RK,"100 WALNUT STREET
DOOR 19
CHAMPLAIN, NY 12919
United States ",+1 518-298-4007          
BCB INTERNATIONAL INC,186,"237 WEST SERVICE ROAD
ROOM B103
CHAMPLAIN, NY 12919
United States ",+1 716-884-1554          
METRO CUSTOMS BROKERS INC,WFN,"1 LINCOLN BOULEVARD
SUITE 202
ROUSES POINT, NY 12979
United States ",+1 518-297-3000          
RBI USA CUSTOMS SERVICES LLC,EGS,"1427 RIDGE ROAD
CHAMPLAIN, NY 12919
United States ",+1 877-724-2007          
RADIX GROUP INTERNATIONAL INC DBA DHL GLOBAL FORWARDING,336,"237 WEST SERVICE ROAD
ROOM 104B
CHAMPLAIN, NY 12919
United States ",+1 518-298-3145          
UPS SUPPLY CHAIN SOLUTIONS INC,UPS,"1 UPS WAY
CHAMPLAIN, NY 12919
United States ",+1 518-298-8000          
