Broker names,broker filer code,addresses,phones
ABX LOGISTICS USA INC,JG3,"6950 ENGLE ROAD
UNIT CCC DDD
MIDDLEBURG HEIGHTS, OH 44130
United States ",+1 440-243-0900          
CH ROBINSON FREIGHT SERVICES LTD,279,"17515 ENGLE LAKE DRIVE
MIDDLEBURG HEIGHTS, OH 44130
United States ",+1 440-234-7811          
CEVA INTERNATIONAL INC,004,"1144 EAST MARKET STREET
BLDG 27 4 DEPT 842
AKRON, OH 44316
United States ",+1 330-796-0127          
APEX LOGISTICS INTERNATIONAL (JFK) INC,9G3,"600 MEIJER DR
FLORENCE, KY 41042
United States ", 
CHESTA COOMPANY INC,BAC,"93 WEST COLUMBUS STREET
PICKERINGTON, OH 43147
United States ",+1 614-833-4165          
BOLLORE LOGISTICS USA INC,408,"18665 SHELDON ROAD
MIDDLEBURG HEIGHTS, OH 44130
United States ",+1 216-267-7600          
COLUMBUS CUSTOMHOUSE BROKERS,88M,"6800 LAUFFER ROAD
BUILDING C
COLUMBUS, OH 43231
United States ",+1 614-895-1900          
C B SERVICE INC,BSS,"4218 HICKORYVIEW DRIVE
LOUISVILLE, KY 40299
United States ",+1 502-267-9083          
BLASER & MERICLE INC,425,"16021 PURITAS AVE
CLEVELAND, OH 44181
United States ",+1 216-267-1800          
DELL WILL CUSTOMS BROKERS USA INC,KB5,"25810 NORTHLINE COMMERCE DR
SUITE 206
TAYLOR, MI 48180
United States ",+1 734-946-3040          
KINTETSU WORLD EXPRESS (USA) INC,EE6,"17820 ENGLEWOOD DRIVE
UNIT 23
MIDDLEBURG HEIGHTS, OH 44130
United States ",+1 440-826-1075          
LIMITED CUSTOMS SERVICES INC,AXD,"4 LIMITED PARKWAY
REYNOLDSBURG, OH 43068
United States ",+1 614-856-7523          
EXEL GLOBAL LOGISTICS INC,233,"21500 AEROSPACE PARKWAY
BROOK PARK, OH 44142
United States ",+1 440-243-5900          
FRANK J REYNOLDS,DC2,"703 WIND BREEZE DRIVE
TOLEDO, OH 43615
United States ",+1 419-865-6201          
MARINE SERVICES INTERNATIONAL INC,MSI,,
MIAMI VALLEY WORLDWIDE INC,361,"1300 EAST THIRD STREET
DAYTON, OH 45403
United States ",+1 937-222-4065          
KUEHNE & NAGEL INC,101,"19695 COMMERCE PARKWAY
MIDDLEBURG HEIGHTS, OH 44130
United States ",+1 440-243-6070          
MCQUATE BROKERAGE SERVICES INC,BSW,"4076 EAST MAIN ST
SUITE A
COLUMBUS, OH 43213
United States ",+1 614-738-3887          
FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,799,"845 CLAYCRAFT ROAD
SUITE B
COLUMBUS, OH 43230
United States ",+1 614-322-2250          
MIDWEST TRANSATLANTIC LINES INC,W86,"1230 WEST BAGLEY ROAD
BEREA, OH 44017
United States ",+1 440-243-1993          
NNR GLOBAL LOGISTICS USA INC,U35,"7007 ENGLE ROAD
SUITE H
MIDDLEBURG HEIGHTS, OH 44130
United States ",+1 440-234-7300          
PATRICIA VENEZIANO DBA PLV INTERNATIONAL,ELB,"6465 EASTLAND ROAD
BROOK PARK, OH 44142
United States ",+1 440-234-3257          
STEVE STORY DBA GLOBAL TRADE SOLUTIONS,AVS,,
ROBERT ADAMS,EQK,"USCUSTOMSBROKERAGECOM
2071 101 NORTH BECHTLE AVE
SPRINGFIELD, OH 45502
United States ",+1 937-244-0755          
MOWHAWK GLOBAL LOGISTICS CORP DBA MOWHAWK GLOBAL LOGISTICS,DE6,"17900 JEFFERSON PARKWAY
SUITE 104
MIDDLEBURG HEIGHTS, OH 44130
United States ",+1 440-243-6940          
STAR USA INC,BNZ,"250 NORTH DAVIS ROAD
ASHLAND, OH 44805
United States ",+1 419-281-4100          
SAMUEL L MONTGOMERY,FF9,"7336 PYMBROKE DRIVE
FISHERS, IN 46038
United States ",+1 317-842-6759          
THOMAS A BARNHART CUSTOMHOUSE,BMS,"8792 KINGSLEY DRIVE
REYNOLDSBURG, OH 43068
United States ",+1 614-860-9475          
OCEAN FREIGHT SOLUTIONS,8TB,"9411 BIDDULPH RD
BROOKLYN, OH 44144
United States ", 
RADIX GROUP INTERNATIONAL INC DBA DHL GLOBAL FORWARDING,336,"18201 SHELDON RD
MIDDLEBURG HEIGHTS, OH 44130
United States ",+1 803-540-8300          
WORLD EXPRESS SHIPPING TRANSPORTATION AND FORWARDING SERVICES INC DBA WEST FORWARDING SVCS,EP8,"7010 ENGLE ROAD
SUITE 107
MIDDLEBURG HEIGHTS, OH 44130
United States ",+1 440-826-5055          
WORLDWIDE EXPRESS INC,FG1,"20200 FIRST AVENUE
MIDDLEBURG HEIGHTS, OH 44130
United States ",+1 440-826-4211          
UNITED WORLD LINE,UWL,"1340 DEPOT STREET
SUITE 200
ROCKY RIVER, OH 44116
United States ",+1 440-895-8200          
UWL INC,949,"1340 DEPOT ST
STE 200
CLEVELAND, OH 44116
United States ", 
UPS SUPPLY CHAIN SOLUTIONS INC,UPS,"18685 SHELDON ROAD
MIDDLEBURG HEIGHTS, OH 44130
United States ",+1 216-267-1091          
TORAY HENRY CONSULTING LLC DBA SPEED LOGISTICS SERVICES,8M2,"4200 REGENT ST
SUITE 200
COLUMBUS, OH 43219
United States ",+1 614-841-4830          
WELCO INTERNATIONAL SERVICES INC,AQT,"5407 CHENOWETH RUN RD
LOUISVILLE, KY 40299
United States ",+1 812-944-7602          
