Broker names,broker filer code,addresses,phones
ADVANCE CUSTOMS BROKERS & LOGISTICS INC,9LB,"1044 ASHFORD LANE
WESTMONT, IL 60559
United States ",+1 630-965-4311          
A N DERINGER INC,551,"2100 DEVON AVENUE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-734-0007          
ALAN GRONER,K74,"5500 PEARL STREET
SUITE 120
ROSEMONT, IL 60018
United States ",+1 847-261-0100          
ABX LOGISTICS USA INC,JG3,"2601 ALLAN DRIVE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-238-9622          
AIR TIGER EXPRESS USA INC,T81,"1201 EAST OAKTON STREET
SUITE 2
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-766-0090          
A L FASE & CO,416,"2124 SOUTH WOLF ROAD
DES PLAINES, IL 60018
United States ",+1 847-759-0960          
AGILITY LOGISTICS CORP,201,"491 SUPREME DRIVE
BENSENVILLE, IL 60106
United States ",+1 630-350-3700          
AFFILIATED CUSTOMS BROKERS USA INC,EG6,"2201 EAST HIGGINS ROAD
SUITE 201
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-690-0941          
AIRSPED INC,034,"1058 TOWER LANE
PO BOX 66013 CHGO IL 60666
BENSENVILLE, IL 60106
United States ",+1 630-595-8600          
AK INTERNATIONAL INC,BOX,"9950 WEST LAWRENCE AVENUE
SUITE 315
SCHILLER PARK, IL 60176
United States ",+1 847-671-9200          
B & B CUSTOMS BROKERS INC,G33,"420 EAST IRVING PARK ROAD
PO BOX 129
WOOD DALE, IL 60191
United States ",+1 630-616-0330          
BARKLEY BROKERAGE CORP,EK4,"29W471 SUNSET RIDGE DRIVE
BARTLETT, IL 60103
United States ",+1 630-372-9688          
BARBARA CHRONOPOULOS,BBO,"C O CHRONOS INTL INC
9114 VIRGINIA RD SUITE 111
LAKE IN THE HILLS, IL 60156
United States ",+1 847-458-1924          
BDG INTERNATIONAL INC,WFB,"840 TOLLGATE ROAD
ELGIN, IL 60123
United States ",+1 847-760-0000          
BALTRANS LOGISTICS INC,FV4,"1371 NORTH WOOD DALE ROAD
WOOD DALE, IL 60191
United States ",+1 630-595-5080          
AMERICAN CARGO EXPRESS INC,U16,"200 SCOTT STREET
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-364-4200          
ALLIANCE CUSTOMS CLEARANCE INC,DQ1,"2625 BUTTERFIELD ROAD
317E
OAK BROOK, IL 60525
United States ",+1 630-716-0036          
AMERICAN LAMPRECHT TRANSPORT INC,785,"2218 LANDMEIER ROAD
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-364-0555          
AV REILLY INTERNATIONAL LTD DBA REILLY INTERNATIONAL,J88,"1555 NORTH MICHAEL DRIVE
WOOD DALE, IL 60191
United States ",+1 630-238-4900          
ANTONIO J ALVARO,AUT,"2300 EAST HIGGINS ROAD
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-437-8880          
C H ROBINSON INTERNATIONAL INC,791,"855 ARTHUR AVENUE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-472-5500          
BDP INTERNATIONAL INC,916,"875 DEVON AVENUE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-238-1200          
CARMICHAEL INTERNATIONAL SERVICE,442,"1000 TOWER LANE
SUITE 350
BENSENVILLE, IL 60106
United States ",+1 630-595-1407          
BERARDINO & ASSOCIATES INC,E89,"221 EAST LAKE STREET
SUITE 205
ADDISON, IL 60601
United States ",+1 708-834-2670          
CAMELOT CO,120,"9865 WEST LELAND
SCHILLER PARK, IL 60176
United States ",+1 847-678-5400          
CAVALIER INTERNATIONAL AIR FREIGHT INC,HTD,"45085 OLD OX ROAD
DULLES, VA 20166
United States ",+1 630-694-1606          
CAS INTERNATIONAL INC,D21,"370 BROOKHURST
WOOD DALE, IL 60191
United States ",+1 630-595-1122          
BOLLORE LOGISTICS USA INC,408,"2312 TOUHY AVENUE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-952-8050          
BRAHM INTERNATIONAL LTD,W54,"2201 EAST HIGGINS
SUITE 203
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-758-9950          
CBC CUSTOMHOUSE BROKERS INC,E94,"143 NORTH BLOOMINGDALE ROAD
BLOOMINGDALE, IL 60108
United States ",+1 630-924-4300          
CSI INTERNATIONAL(CHICAGO) INC,AYF,,
CH POWELL COMPANY,605,"1395 EAST IRVING PARK ROAD
ITASCA, IL 60143
United States ",+1 630-773-9398          
CHICAGO FREIGHT BROKERS INT'L INC,BGR,"1138 TOWER LANE
BENSENVILLE, IL 60601
United States ",+1 630-766-3370          
CEVA INTERNATIONAL INC,004,"1717 BUSSE ROAD
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-250-3100          
CORTEZ CUSTOMHOUSE BROKERAGE CO,H13,"2266 B LANDMEIER ROAD
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-228-5575          
DELMAR LOGISTICS (IL) INC,BHJ,"1555 MITTEL BOULEVARD
BENSENVILLE, IL 60191
United States ",+1 630-694-9900          
DACHSER USA AIR & SEA LOGISTICS INC,U52,"1500 HIGGINS ROAD
UNIT A
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-806-8800          
CLEARFREIGHT INC,235,"810 THORNDALE AVENUE
BENSENVILLE, IL 60106
United States ",+1 630-766-6652          
DAVID I PARK,FG5,"661 WAINSFORD DRIVE
HOFFMAN ESTATES, IL 60194
United States ",+1 847-843-0603          
D & L CHB LLC,BQT,"1500 MIDWAY COURT
SUITE W201
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-690-0690          
DSX INC,BFI,"2761 OLD HIGGINS ROAD
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-439-6880          
ETI IMPORT SERVICES INC,AQ6,"325B WEST LAKE STREET
ELMHURST, IL 60126
United States ",+1 630-787-0105          
EXEL GLOBAL LOGISTICS INC,233,"90 DIVISION STREET
SUITE 105
BENSENVILLE, IL 60106
United States ",+1 630-616-6845          
E BESLER AND CO,525,"115 MARTIN LANE
ELK GROVE, IL 60007
United States ",+1 708-364-0300          
FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,799,"1101 BUSSE ROAD
ELK GROVE VILLAGE, IL 60007
United States ",+1 630-350-9833          
EGETRANS USA INC,NW6,"729 NORTH ROUTE 83
UNIT 304
BENSENVILLE, IL 60106
United States ",+1 630-694-9950          
EDWARD J ZARACH & ASSOC INC,337,"2200 LANDMEIER ROAD
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-228-7008          
EXPEDITORS TRADEWIN LLC,JF9,"951 THORNDALE AVENUE
BENSENVILLE, IL 60106
United States ",+1 630-595-3770          
ERIC WAGNER CHB LLC,9X8,"1064 THORNDALE AVE
BENSENVILLE, IL 60106
United States ",+1 847-981-1081          
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,231,"849 THOMAS DRIVE
BENSENVILLE, IL 60106
United States ",+1 630-595-3770          
FNS CUSTOMS BROKERS INC,AMT,"2700 COYLE AVENUE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-434-0641          
FISCHER INT'L FORWARDERS INC,GM1,"999 EAST TOUHY AVENUE
SUITE 465
DES PLAINES, IL 60018
United States ",+1 847-296-8020          
GEODIS USA INC,113,"1285 MARK STREET
BENSENVILLE, IL 60106
United States ",+1 630-694-1250          
GLOBAL TRANSPORTATION SERVICES INC,H41,"755 NORTH ROUTE 83
SUITE 223
BENSENVILLE, IL 60106
United States ",+1 630-595-8070          
FREIGHT SAVERS SHIPPING CO LTD,AMU,"2567 GREENLEAF AVENUE
UNIT B 1
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-956-7583          
FRT INTERNATIONAL INC DBA FRONTIER LOGISTICS SERVICES,DQ7,"1001 FARGO AVENUE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-290-1400          
GLOBAL FAIRWAYS INC,U65,"725 EAST IRVING PARK ROAD
SUITE A
ROSELLE, IL 60172
United States ",+1 630-893-9470          
GLI CUSTOM BROKERS INC,BUI,"1425 LOUIS AVENUE
SUITE 102
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-427-3071          
GEODIS WILSON USA INC,GEO,"1850 GREENLEAF AVENUE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-981-9500          
FREIGHTGATOR LOGISTICS INC,BDU,"16562 WEST WATTERS DRIVE
LOCKPORT, IL 60441
United States ",+1 815-588-2306          
IMPORT LOGISTICS INC,ER9,"1005 NORTH COMMONS DRIVE
AURORA, IL 60504
United States ",+1 630-851-2111          
HELLMANN WORLDWIDE LOGISTICS INC,MC2,"105 DIVISION STREET
SUITE 101
BENSENVILLE, IL 60106
United States ",+1 630-694-4300          
HANSHIN AIR CARGO USA INC,DK9,"5136 PEARL STREET
SCHILLER PARK, IL 60176
United States ",+1 847-678-9500          
J F MORAN CO INC,002,"HOWARD OHARE BUSINESS COURT
200 EAST HOWARD ST SUITE 258
DES PLAINES, IL 60018
United States ",+1 847-699-8220          
HENRY E KLOCH & CO INC,805,"501 OGDEN AVENUE
HINSDALE, IL 60521
United States ",+1 630-654-1933          
I-LOGISTICS (USA) CORP,EK8,"1157 NORTH ELLIS STREET
BENSENVILLE, IL 60106
United States ",+1 630-787-9781          
ICS CUSTOMS SERVICE INC,D40,"1099 MORSE STREET
ELK GROVE VILLAGE, IL 60007
United States ",+1 630-350-9998          
HANKYU HANSHIN EXPRESS USA INC,610,"989 AEC DRIVE
WOOD DALE, IL 60191
United States ",+1 630-238-6080          
HITACHI TRANSPORT SYSTEM (AMERICA),W79,"300 PARK BOULEVARD
SUITE 360
ITASCA, IL 60143
United States ",+1 630-250-3500          
INTERFREIGHT INC,J89,"TRIANGLE CORPORATE CENTER
1480 ELMHURST ROAD
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-981-1999          
K LINE LOGISTICS USA INC,EB6,"265 SOUTH PROSPECT AVENUE
ITASCA, IL 60143
United States ",+1 630-250-0337          
JDC INTERNATIONAL INC,396,"457 CROSSEN AVENUE
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-228-7770          
KUEHNE & NAGEL INC,101,"1001 BUSSE ROAD
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-228-8500          
JAS FORWARDING USA INC,D99,"1655 BUSSE ROAD
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-981-1300          
LAINE INTERNATIONAL INC,U90,"2250 EAST DEVON
SUITE 115
DES PLAINES, IL 60018
United States ",+1 847-439-7325          
KEH JEAN WU (CHUNG),BXC,"821 BUSSE ROAD
ELK GROVE VILLAGE, IL 60007
United States ",+1 847-298-8080          
KINTETSU WORLD EXPRESS (USA) INC,EE6,"1221 MITTEL BOULEVARD
WOOD DALE, IL 60191
United States ",+1 630-787-5150          
K & G CUSTOMS SERVICE INC,BTF,"2775 ALGONQUIN ROAD
SUITE 100
ROLLING MEADOWS, IL 60007
United States ",+1 847-956-0700          
KAREN M KUCHARSKI,MZ5,"1903 EDGEWOOD DRIVE
ALGONQUIN, IL 60102
United States ",+1 847-854-7615          
LANE INTLTRADE CONSULTING SERVICE,BQS,"39W439 WEST MALLORY DRIVE
GENEVA, IL 60134
United States ",+1 630-788-4729          
