Broker names,broker filer code,addresses,phones
HELLMANN WORLDWIDE LOGISTICS INC,MC2,"7280 ALUM CREEK DRIVE
SUITES A D
COLUMBUS, OH 43217
United States ",+1 614-492-0171          
ABACO CUSTOMHOUSE INC,725,"3922 DELTA DRIVE
PO BOX 9705
EL PASO, TX 79987
United States ",+1 915-542-1742          
ROBERT K FORNEY,DA3,"5690 CLYDE MOORE DRIVE
UNIT 207
GROVEPORT, OH 43125
United States ",+1 614-409-0230          
EXEL GLOBAL LOGISTICS INC,233,"2144 A JOHN GLENN AVENUE
COLUMBUS, OH 43220
United States ",+1 614-409-4500          
CHESTA COOMPANY INC,BAC,"93 WEST COLUMBUS STREET
PICKERINGTON, OH 43147
United States ",+1 614-833-4165          
FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,799,"845 CLAYCRAFT ROAD
SUITE B
COLUMBUS, OH 43230
United States ",+1 614-322-2250          
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,231,"2550 JOHN GLENN AVENUE
SUITE J
COLUMBUS, OH 43217
United States ",+1 614-492-9840          
LIMITED CUSTOMS SERVICES INC,AXD,"4 LIMITED PARKWAY
REYNOLDSBURG, OH 43068
United States ",+1 614-856-7523          
C B SERVICE INC,BSS,"4218 HICKORYVIEW DRIVE
LOUISVILLE, KY 40299
United States ",+1 502-267-9083          
GLOBE EXPRESS SERVICES LTD,WU6,"750 H CROSS PINTE ROAD
GAHANNA, OH 43230
United States ",+1 614-501-9400          
TRUDIE I DAY,KT6,"COLS CUSTOMHOUSE BROKERS LTD
6800 LAUFFER ROAD
COLUMBUS, OH 43231
United States ",+1 614-895-1900          
UPS SUPPLY CHAIN SOLUTIONS INC,UPS,"1711 GEORGESVILLE ROAD
COLUMBUS, OH 43228
United States ",+1 614-385-9150          
THOMAS A BARNHART CUSTOMHOUSE,BMS,"8792 KINGSLEY DRIVE
REYNOLDSBURG, OH 43068
United States ",+1 614-860-9475          
TORAY HENRY CONSULTING LLC DBA SPEED LOGISTICS SERVICES,8M2,"4200 REGENT ST
SUITE 200
COLUMBUS, OH 43219
United States ",+1 614-841-4830          
STEVE STORY DBA GLOBAL TRADE SOLUTIONS,AVS,,
SCHENKER INC,322,"7200 ALUM CREEK DRIVE
SUITE B
COLUMBUS, OH 43217
United States ",+1 614-409-3333          
WELCO INTERNATIONAL SERVICES INC,AQT,"5407 CHENOWETH RUN RD
LOUISVILLE, KY 40299
United States ",+1 812-944-7602          
