Broker names,broker filer code,addresses,phones
FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,799,"302 LORENALY DRIVE
SUITE EAST 111
BROWNSVILLE, TX 78522
United States ",+1 956-683-0384          
A & A CUSTOMS BROKERAGE SVCS INC,G74,"3541 EAST 14TH SUITE B
BROWNSVILLE, TX 78520
United States ",+1 956-550-0647          
FIDELA GORENA,UY5,"301 MEXICO BOULEVARD
SUITE G9A
BROWNSVILLE, TX 78520
United States ",+1 956-504-0142          
CAIN CUSTOMS BROKERS INC,327,"1701 INDUSTRIAL BOULEVARD
HIDALGO, TX 78557
United States ",+1 956-843-2294          
APRIL HUERTA,MK4,"7620 VICTORIA COURT
SUITE 1
BROWNSVILLE, TX 78526
United States ",+1 956-831-7800          
ALMA GABRIELA BERNUS,JC2,"1334 MORNINGSIDE ROAD
BROWNSVILLE, TX 78520
United States ",+1 956-504-3700          
DANIEL B HASTINGS INC,228,"3301 NAFTA PARKWAY
SUITE B
BROWNSVILLE, TX 78521
United States ",+1 956-831-7562          
GLOFESA INC,M28,"225 EAST 11TH STREET
SUITE 4
BROWNSVILLE, TX 78520
United States ", 
ANGELO INTERNATIONAL,D31,"427 COUCH ROAD
BROWNSVILLE, TX 78575
United States ",+1 956-544-6934          
HUMBERTO SAENZ JR INC,U93,"4740 COFFEEPORT ROAD
PO BOX 3686
BROWNSVILLE, TX 78520
United States ",+1 956-831-5313          
JAIME A GUERRERO DBA JAG WORLDWIDE SHIPPING,ET8,"3775 BOCA CHICA BOULEVARD 906
BROWNSVILLE, TX 78520
United States ",+1 956-831-0221          
PARKERCO INC,M29,"4694 COFFEEPORT ROAD
PO BOX 271
BROWNSVILLE, TX 78520
United States ",+1 956-831-2000          
ROSER & COWEN LGSTCL CSTMS SVCS LTD,480,"4695 TOWERWOOD DRIVE
BROWNSVILLE, TX 78521
United States ", 
RUBEN PEREZ,KL6,"7765 PADRE ISLAND HIGHWAY
SUITE 100
BROWNSVILLE, TX 78521
United States ",+1 956-831-5544          
LOERA CUSTOMS BROKERAGE,W83,"5845 EAST 14TH STREET
BROWNSVILLE, TX 78520
United States ",+1 956-831-4271          
PHILIP T COWEN,H14,"934 EAST LEVEE STREET
BROWNSVILLE, TX 78520
United States ",+1 956-541-6031          
JOSE M LOREDO,MY8,"217 TEXAS AVENUE
BROWNSVILLE, TX 78521
United States ",+1 956-504-0020          
MARTHA DAVILA DBA TCS BROKERAGE,ANG,"174 INDUSTRIAL DRIVE
BROWNSVILLE, TX 78521
United States ",+1 956-544-4575          
NAVCO LOGISTICS LLC,EDN,"2500 COURAGE BOULEVARD
BROWNSVILLE, TX 78521
United States ",+1 956-542-4138          
ROSER CUSTOMS SERVICE,878,"400 EAST 13TH STREET
BROWNSVILLE, TX 78520
United States ",+1 956-546-5544          
