Component,Component URL,ISIN,Trading Location,Issuer Country
AB INBEV,https://live.euronext.com/en/product/equities/BE0974293251-XBRU,BE0974293251,Euronext Brussels,Belgium
ADYEN,https://live.euronext.com/en/product/equities/NL0012969182-XAMS,NL0012969182,Euronext Amsterdam,Netherlands
AIR LIQUIDE,https://live.euronext.com/en/product/equities/FR0000120073-XPAR,FR0000120073,Euronext Paris,France
AIRBUS,https://live.euronext.com/en/product/equities/NL0000235190-XPAR,NL0000235190,Euronext Paris,Netherlands
AKER BP,https://live.euronext.com/en/product/equities/NO0010345853-XOSL,NO0010345853,Oslo Børs,Norway
AKZO NOBEL,https://live.euronext.com/en/product/equities/NL0013267909-XAMS,NL0013267909,Euronext Amsterdam,Netherlands
ALSTOM,https://live.euronext.com/en/product/equities/FR0010220475-XPAR,FR0010220475,Euronext Paris,France
AMUNDI,https://live.euronext.com/en/product/equities/FR0004125920-XPAR,FR0004125920,Euronext Paris,France
ARCELORMITTAL SA,https://live.euronext.com/en/product/equities/LU1598757687-XAMS,LU1598757687,Euronext Amsterdam,Luxembourg
ARGENX SE,https://live.euronext.com/en/product/equities/NL0010832176-XBRU,NL0010832176,Euronext Brussels,Netherlands
ASM INTERNATIONAL,https://live.euronext.com/en/product/equities/NL0000334118-XAMS,NL0000334118,Euronext Amsterdam,Netherlands
ASML HOLDING,https://live.euronext.com/en/product/equities/NL0010273215-XAMS,NL0010273215,Euronext Amsterdam,Netherlands
AXA,https://live.euronext.com/en/product/equities/FR0000120628-XPAR,FR0000120628,Euronext Paris,France
BIOMERIEUX,https://live.euronext.com/en/product/equities/FR0013280286-XPAR,FR0013280286,Euronext Paris,France
BNP PARIBAS ACT.A,https://live.euronext.com/en/product/equities/FR0000131104-XPAR,FR0000131104,Euronext Paris,France
BOUYGUES,https://live.euronext.com/en/product/equities/FR0000120503-XPAR,FR0000120503,Euronext Paris,France
BUREAU VERITAS,https://live.euronext.com/en/product/equities/FR0006174348-XPAR,FR0006174348,Euronext Paris,France
CAMPARI,https://live.euronext.com/en/product/equities/NL0015435975-MTAA,NL0015435975,Euronext Milan,Netherlands
CAPGEMINI,https://live.euronext.com/en/product/equities/FR0000125338-XPAR,FR0000125338,Euronext Paris,France
CARREFOUR,https://live.euronext.com/en/product/equities/FR0000120172-XPAR,FR0000120172,Euronext Paris,France
CNH INDUSTRIAL,https://live.euronext.com/en/product/equities/NL0010545661-MTAA,NL0010545661,Euronext Milan,Netherlands
CREDIT AGRICOLE,https://live.euronext.com/en/product/equities/FR0000045072-XPAR,FR0000045072,Euronext Paris,France
CRH PLC ord,https://live.euronext.com/en/product/equities/IE0001827041-XMSM,IE0001827041,Euronext Dublin,Ireland
D'IETEREN GROUP,https://live.euronext.com/en/product/equities/BE0974259880-XBRU,BE0974259880,Euronext Brussels,Belgium
DANONE,https://live.euronext.com/en/product/equities/FR0000120644-XPAR,FR0000120644,Euronext Paris,France
DASSAULT SYSTEMES,https://live.euronext.com/en/product/equities/FR0014003TT8-XPAR,FR0014003TT8,Euronext Paris,France
DNB BANK,https://live.euronext.com/en/product/equities/NO0010161896-XOSL,NO0010161896,Oslo Børs,Norway
DSM FIRMENICH AG,https://live.euronext.com/en/product/equities/CH1216478797-XAMS,CH1216478797,Euronext Amsterdam,Switzerland
EDENRED,https://live.euronext.com/en/product/equities/FR0010908533-XPAR,FR0010908533,Euronext Paris,France
EDP,https://live.euronext.com/en/product/equities/PTEDP0AM0009-XLIS,PTEDP0AM0009,Euronext Lisbon,Portugal
EIFFAGE,https://live.euronext.com/en/product/equities/FR0000130452-XPAR,FR0000130452,Euronext Paris,France
ELIA GROUP,https://live.euronext.com/en/product/equities/BE0003822393-XBRU,BE0003822393,Euronext Brussels,Belgium
ENEL,https://live.euronext.com/en/product/equities/IT0003128367-MTAA,IT0003128367,Euronext Milan,Italy
ENGIE,https://live.euronext.com/en/product/equities/FR0010208488-XPAR,FR0010208488,Euronext Paris,France
ENI,https://live.euronext.com/en/product/equities/IT0003132476-MTAA,IT0003132476,Euronext Milan,Italy
EQUINOR,https://live.euronext.com/en/product/equities/NO0010096985-XOSL,NO0010096985,Oslo Børs,Norway
ESSILORLUXOTTICA,https://live.euronext.com/en/product/equities/FR0000121667-XPAR,FR0000121667,Euronext Paris,France
EUROFINS SCIENT.,https://live.euronext.com/en/product/equities/FR0014000MR3-XPAR,FR0014000MR3,Euronext Paris,France
FERRARI,https://live.euronext.com/en/product/equities/NL0011585146-MTAA,NL0011585146,Euronext Milan,Netherlands
FLUTTER ENTERTAIN,https://live.euronext.com/en/product/equities/IE00BWT6H894-XMSM,IE00BWT6H894,Euronext Dublin,Ireland
GBL,https://live.euronext.com/en/product/equities/BE0003797140-XBRU,BE0003797140,Euronext Brussels,Belgium
GENERALI ASS,https://live.euronext.com/en/product/equities/IT0000062072-MTAA,IT0000062072,Euronext Milan,Italy
HEINEKEN,https://live.euronext.com/en/product/equities/NL0000009165-XAMS,NL0000009165,Euronext Amsterdam,Netherlands
IMCD,https://live.euronext.com/en/product/equities/NL0010801007-XAMS,NL0010801007,Euronext Amsterdam,Netherlands
ING GROEP N.V.,https://live.euronext.com/en/product/equities/NL0011821202-XAMS,NL0011821202,Euronext Amsterdam,Netherlands
INTESA SANPAOLO,https://live.euronext.com/en/product/equities/IT0000072618-MTAA,IT0000072618,Euronext Milan,Italy
INWIT,https://live.euronext.com/en/product/equities/IT0005090300-MTAA,IT0005090300,Euronext Milan,Italy
"J.MARTINS,SGPS",https://live.euronext.com/en/product/equities/PTJMT0AE0001-XLIS,PTJMT0AE0001,Euronext Lisbon,Portugal
KBC,https://live.euronext.com/en/product/equities/BE0003565737-XBRU,BE0003565737,Euronext Brussels,Belgium
KERING,https://live.euronext.com/en/product/equities/FR0000121485-XPAR,FR0000121485,Euronext Paris,France
KERRY GROUP PLC,https://live.euronext.com/en/product/equities/IE0004906560-XMSM,IE0004906560,Euronext Dublin,Ireland
KINGSPAN GROUP PLC,https://live.euronext.com/en/product/equities/IE0004927939-XMSM,IE0004927939,Euronext Dublin,Ireland
PHILIPS KON,https://live.euronext.com/en/product/equities/NL0000009538-XAMS,NL0000009538,Euronext Amsterdam,Netherlands
AHOLD DEL,https://live.euronext.com/en/product/equities/NL0011794037-XAMS,NL0011794037,Euronext Amsterdam,Netherlands
KPN KON,https://live.euronext.com/en/product/equities/NL0000009082-XAMS,NL0000009082,Euronext Amsterdam,Netherlands
LEGRAND,https://live.euronext.com/en/product/equities/FR0010307819-XPAR,FR0010307819,Euronext Paris,France
LVMH,https://live.euronext.com/en/product/equities/FR0000121014-XPAR,FR0000121014,Euronext Paris,France
MICHELIN,https://live.euronext.com/en/product/equities/FR001400AJ45-XPAR,FR001400AJ45,Euronext Paris,France
MONCLER,https://live.euronext.com/en/product/equities/IT0004965148-MTAA,IT0004965148,Euronext Milan,Italy
MOWI,https://live.euronext.com/en/product/equities/NO0003054108-XOSL,NO0003054108,Oslo Børs,Norway
NN GROUP,https://live.euronext.com/en/product/equities/NL0010773842-XAMS,NL0010773842,Euronext Amsterdam,Netherlands
NORSK HYDRO,https://live.euronext.com/en/product/equities/NO0005052605-XOSL,NO0005052605,Oslo Børs,Norway
ORANGE,https://live.euronext.com/en/product/equities/FR0000133308-XPAR,FR0000133308,Euronext Paris,France
PERNOD RICARD,https://live.euronext.com/en/product/equities/FR0000120693-XPAR,FR0000120693,Euronext Paris,France
POSTE ITALIANE,https://live.euronext.com/en/product/equities/IT0003796171-MTAA,IT0003796171,Euronext Milan,Italy
