Component,Component URL,ISIN,Trading Location,Issuer Country
AB INBEV,https://live.euronext.com/en/product/equities/BE0974293251-XBRU,BE0974293251,Euronext Brussels,Belgium
ACCOR,https://live.euronext.com/en/product/equities/FR0000120404-XPAR,FR0000120404,Euronext Paris,France
AIB GROUP PLC,https://live.euronext.com/en/product/equities/IE00BF0L3536-XMSM,IE00BF0L3536,Euronext Dublin,Ireland
AIR LIQUIDE,https://live.euronext.com/en/product/equities/FR0000120073-XPAR,FR0000120073,Euronext Paris,France
ALSTOM,https://live.euronext.com/en/product/equities/FR0010220475-XPAR,FR0010220475,Euronext Paris,France
ALTEN,https://live.euronext.com/en/product/equities/FR0000071946-XPAR,FR0000071946,Euronext Paris,France
AMUNDI,https://live.euronext.com/en/product/equities/FR0004125920-XPAR,FR0004125920,Euronext Paris,France
ASM INTERNATIONAL,https://live.euronext.com/en/product/equities/NL0000334118-XAMS,NL0000334118,Euronext Amsterdam,Netherlands
ASML HOLDING,https://live.euronext.com/en/product/equities/NL0010273215-XAMS,NL0010273215,Euronext Amsterdam,Netherlands
AXA,https://live.euronext.com/en/product/equities/FR0000120628-XPAR,FR0000120628,Euronext Paris,France
BANK OF IRELAND GP,https://live.euronext.com/en/product/equities/IE00BD1RP616-XMSM,IE00BD1RP616,Euronext Dublin,Ireland
BNP PARIBAS ACT.A,https://live.euronext.com/en/product/equities/FR0000131104-XPAR,FR0000131104,Euronext Paris,France
BUREAU VERITAS,https://live.euronext.com/en/product/equities/FR0006174348-XPAR,FR0006174348,Euronext Paris,France
CAPGEMINI,https://live.euronext.com/en/product/equities/FR0000125338-XPAR,FR0000125338,Euronext Paris,France
CARREFOUR,https://live.euronext.com/en/product/equities/FR0000120172-XPAR,FR0000120172,Euronext Paris,France
CNH INDUSTRIAL,https://live.euronext.com/en/product/equities/NL0010545661-MTAA,NL0010545661,Euronext Milan,Netherlands
COVIVIO,https://live.euronext.com/en/product/equities/FR0000064578-XPAR,FR0000064578,Euronext Paris,France
DANONE,https://live.euronext.com/en/product/equities/FR0000120644-XPAR,FR0000120644,Euronext Paris,France
DNB BANK,https://live.euronext.com/en/product/equities/NO0010161896-XOSL,NO0010161896,Oslo Boers,Norway
DSM FIRMENICH AG,https://live.euronext.com/en/product/equities/CH1216478797-XAMS,CH1216478797,Euronext Amsterdam,Switzerland
EDENRED,https://live.euronext.com/en/product/equities/FR0010908533-XPAR,FR0010908533,Euronext Paris,France
EDP,https://live.euronext.com/en/product/equities/PTEDP0AM0009-XLIS,PTEDP0AM0009,Euronext Lisbon,Portugal
EDP RENOVAVEIS,https://live.euronext.com/en/product/equities/ES0127797019-XLIS,ES0127797019,Euronext Lisbon,Spain
ELIS,https://live.euronext.com/en/product/equities/FR0012435121-XPAR,FR0012435121,Euronext Paris,France
ENEL,https://live.euronext.com/en/product/equities/IT0003128367-MTAA,IT0003128367,Euronext Milan,Italy
ENGIE,https://live.euronext.com/en/product/equities/FR0010208488-XPAR,FR0010208488,Euronext Paris,France
FORVIA,https://live.euronext.com/en/product/equities/FR0000121147-XPAR,FR0000121147,Euronext Paris,France
GECINA,https://live.euronext.com/en/product/equities/FR0010040865-XPAR,FR0010040865,Euronext Paris,France
GENERALI ASS,https://live.euronext.com/en/product/equities/IT0000062072-MTAA,IT0000062072,Euronext Milan,Italy
GETLINK SE,https://live.euronext.com/en/product/equities/FR0010533075-XPAR,FR0010533075,Euronext Paris,France
HEINEKEN,https://live.euronext.com/en/product/equities/NL0000009165-XAMS,NL0000009165,Euronext Amsterdam,Netherlands
HERMES INTL,https://live.euronext.com/en/product/equities/FR0000052292-XPAR,FR0000052292,Euronext Paris,France
INTESA SANPAOLO,https://live.euronext.com/en/product/equities/IT0000072618-MTAA,IT0000072618,Euronext Milan,Italy
IPSEN,https://live.euronext.com/en/product/equities/FR0010259150-XPAR,FR0010259150,Euronext Paris,France
"J.MARTINS,SGPS",https://live.euronext.com/en/product/equities/PTJMT0AE0001-XLIS,PTJMT0AE0001,Euronext Lisbon,Portugal
KBC,https://live.euronext.com/en/product/equities/BE0003565737-XBRU,BE0003565737,Euronext Brussels,Belgium
KERING,https://live.euronext.com/en/product/equities/FR0000121485-XPAR,FR0000121485,Euronext Paris,France
KINGSPAN GROUP PLC,https://live.euronext.com/en/product/equities/IE0004927939-XMSM,IE0004927939,Euronext Dublin,Ireland
KLEPIERRE,https://live.euronext.com/en/product/equities/FR0000121964-XPAR,FR0000121964,Euronext Paris,France
PHILIPS KON,https://live.euronext.com/en/product/equities/NL0000009538-XAMS,NL0000009538,Euronext Amsterdam,Netherlands
KPN KON,https://live.euronext.com/en/product/equities/NL0000009082-XAMS,NL0000009082,Euronext Amsterdam,Netherlands
L'OREAL,https://live.euronext.com/en/product/equities/FR0000120321-XPAR,FR0000120321,Euronext Paris,France
LEGRAND,https://live.euronext.com/en/product/equities/FR0010307819-XPAR,FR0010307819,Euronext Paris,France
LVMH,https://live.euronext.com/en/product/equities/FR0000121014-XPAR,FR0000121014,Euronext Paris,France
MOWI,https://live.euronext.com/en/product/equities/NO0003054108-XOSL,NO0003054108,Oslo Boers,Norway
ORANGE,https://live.euronext.com/en/product/equities/FR0000133308-XPAR,FR0000133308,Euronext Paris,France
PERNOD RICARD,https://live.euronext.com/en/product/equities/FR0000120693-XPAR,FR0000120693,Euronext Paris,France
PUBLICIS GROUPE SA,https://live.euronext.com/en/product/equities/FR0000130577-XPAR,FR0000130577,Euronext Paris,France
RANDSTAD NV,https://live.euronext.com/en/product/equities/NL0000379121-XAMS,NL0000379121,Euronext Amsterdam,Netherlands
RECORDATI ORD,https://live.euronext.com/en/product/equities/IT0003828271-MTAA,IT0003828271,Euronext Milan,Italy
RENAULT,https://live.euronext.com/en/product/equities/FR0000131906-XPAR,FR0000131906,Euronext Paris,France
SAINT GOBAIN,https://live.euronext.com/en/product/equities/FR0000125007-XPAR,FR0000125007,Euronext Paris,France
SANOFI,https://live.euronext.com/en/product/equities/FR0000120578-XPAR,FR0000120578,Euronext Paris,France
SARTORIUS STED BIO,https://live.euronext.com/en/product/equities/FR0013154002-XPAR,FR0013154002,Euronext Paris,France
SCHNEIDER ELECTRIC,https://live.euronext.com/en/product/equities/FR0000121972-XPAR,FR0000121972,Euronext Paris,France
SIGNIFY NV,https://live.euronext.com/en/product/equities/NL0011821392-XAMS,NL0011821392,Euronext Amsterdam,Netherlands
SNAM,https://live.euronext.com/en/product/equities/IT0003153415-MTAA,IT0003153415,Euronext Milan,Italy
SOCIETE GENERALE,https://live.euronext.com/en/product/equities/FR0000130809-XPAR,FR0000130809,Euronext Paris,France
SODEXO,https://live.euronext.com/en/product/equities/FR0000121220-XPAR,FR0000121220,Euronext Paris,France
SOLVAY,https://live.euronext.com/en/product/equities/BE0003470755-XBRU,BE0003470755,Euronext Brussels,Belgium
STOREBRAND,https://live.euronext.com/en/product/equities/NO0003053605-XOSL,NO0003053605,Oslo Boers,Norway
TERNA,https://live.euronext.com/en/product/equities/IT0003242622-MTAA,IT0003242622,Euronext Milan,Italy
THALES,https://live.euronext.com/en/product/equities/FR0000121329-XPAR,FR0000121329,Euronext Paris,France
UCB,https://live.euronext.com/en/product/equities/BE0003739530-XBRU,BE0003739530,Euronext Brussels,Belgium
UMICORE,https://live.euronext.com/en/product/equities/BE0974320526-XBRU,BE0974320526,Euronext Brussels,Belgium
UNIBAIL-RODAMCO-WE,https://live.euronext.com/en/product/equities/FR0013326246-XPAR,FR0013326246,Euronext Paris,France
UNILEVER,https://live.euronext.com/en/product/equities/GB00B10RZP78-XAMS,GB00B10RZP78,Euronext Amsterdam,United Kingdom
VALEO,https://live.euronext.com/en/product/equities/FR0013176526-XPAR,FR0013176526,Euronext Paris,France
